Id,Label,Modularity Class
102282073207836,,30
22127563836,,30
76273827237,,30
191582067138,,30
194746207238141,,30
127189896205,,30
139052809467196,,30
52368145486,,30
43105614434,,30
132661226785239,,30
177393885633224,,30
49908483531,,30
119084421502015,,30
56588246537,,30
29244094145,,30
328941131974,,30
326480973283,,30
136656334522,,30
127426043955479,,30
145737632118475,,30
66153248320,,30
83607422778,,30
141006952485,,30
58506898175,,30
90187774358,,30
48622272808,,30
96730505989,,30
104021335581,,30
64300556312,,30
107161699319433,,30
134296996597869,,30
79140944673,,30
156314357745103,,30
115293181825429,,30
61134242230,,30
161295523902329,,30
168401510959,,30
136354066247,,30
140029389353178,,30
185457709305,,30
120640724246,,30
100752972454,,30
109926442339,,30
165345700190087,,30
291882967915,,30
150459551651250,,30
220330927983469,,30
136753606407304,,353
171260846267490,,30
62786071521,,30
123870057880,,30
92251853240,,30
313730128448,,29
150073425438,,29
126900403987295,,424
57315837894,,424
58115026159,,424
103742739664421,,62
372390249482315,,352
297254386974044,,352
439205919486040,,352
131233253714752,,352
377330842277221,,352
411068132250919,,352
116867358490208,,352
110372889022198,,352
133397703993,,352
1408490912751513,,352
428145627215773,,352
115436255164688,,352
197351580275660,,352
194315950607742,,352
313295913247,,352
124457210931667,,352
168070473254580,,352
104035266299638,,352
181890605316555,,352
391256834219209,,352
102592959026,,352
342480485824033,,352
117324361646488,,352
365544413468529,,352
294873520730,,352
398431150228566,,352
107024189455484,,352
359503740765826,,352
71662295641,,352
72011445729,,352
113685721999067,,352
110165572334271,,352
144754618875100,,352
199353333525733,,352
199485616850554,,352
183802044690,,352
131868456895017,,352
56490638079,,352
122202521136564,,352
167680366590070,,352
350474104990207,,352
357399939797,,352
87036169493,,352
144229115597685,,352
235867789822611,,352
151759214847760,,352
143835508960594,,352
263655880367185,,352
172290302900089,,352
264074841606,,352
112805282065180,,352
110782518968062,,352
174528895960716,,352
118646668156624,,352
207007745983754,,352
115418201806757,,352
197878401746,,352
172892899444537,,352
142834315808816,,352
113470715287,,352
310246548993040,,352
161622023887242,,352
