Id,Label,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eigenvector Centrality
297254386974044,,352,0,1,1,2.0,0.0,2.0,0.0
439205919486040,,352,0,1,1,2.0,0.0,2.0,0.0
131233253714752,,352,0,1,1,2.0,0.0,2.0,0.0
377330842277221,,352,0,1,1,2.0,0.0,2.0,0.0
411068132250919,,352,0,1,1,2.0,0.0,2.0,0.0
116867358490208,,352,0,1,1,2.0,0.0,2.0,0.0
110372889022198,,352,0,1,1,2.0,0.0,2.0,0.0
133397703993,,352,0,1,1,2.0,0.0,2.0,0.0
1408490912751513,,352,0,1,1,2.0,0.0,2.0,0.0
428145627215773,,352,0,1,1,2.0,0.0,2.0,0.0
115436255164688,,352,0,1,1,2.0,0.0,2.0,0.0
197351580275660,,352,0,1,1,2.0,0.0,2.0,0.0
194315950607742,,352,0,1,1,2.0,0.0,2.0,0.0
313295913247,,352,0,1,1,2.0,0.0,2.0,0.0
124457210931667,,352,0,1,1,2.0,0.0,2.0,0.0
168070473254580,,352,0,1,1,2.0,0.0,2.0,0.0
104035266299638,,352,0,1,1,2.0,0.0,2.0,0.0
181890605316555,,352,0,1,1,2.0,0.0,2.0,0.0
391256834219209,,352,0,1,1,2.0,0.0,2.0,0.0
102592959026,,352,0,1,1,2.0,0.0,2.0,0.0
342480485824033,,352,0,1,1,2.0,0.0,2.0,0.0
117324361646488,,352,0,1,1,2.0,0.0,2.0,0.0
365544413468529,,352,0,1,1,2.0,0.0,2.0,0.0
294873520730,,352,0,1,1,2.0,0.0,2.0,0.0
398431150228566,,352,0,1,1,2.0,0.0,2.0,0.0
107024189455484,,352,0,1,1,2.0,0.0,2.0,0.0
359503740765826,,352,0,1,1,2.0,0.0,2.0,0.0
71662295641,,352,0,1,1,2.0,0.0,2.0,0.0
72011445729,,352,0,1,1,2.0,0.0,2.0,0.0
113685721999067,,352,0,1,1,2.0,0.0,2.0,0.0
110165572334271,,352,0,1,1,2.0,0.0,2.0,0.0
144754618875100,,352,0,1,1,2.0,0.0,2.0,0.0
199353333525733,,352,0,1,1,2.0,0.0,2.0,0.0
199485616850554,,352,0,1,1,2.0,0.0,2.0,0.0
183802044690,,352,0,1,1,2.0,0.0,2.0,0.0
131868456895017,,352,0,1,1,2.0,0.0,2.0,0.0
56490638079,,352,0,1,1,2.0,0.0,2.0,0.0
122202521136564,,352,0,1,1,2.0,0.0,2.0,0.0
167680366590070,,352,0,1,1,2.0,0.0,2.0,0.0
350474104990207,,352,0,1,1,2.0,0.0,2.0,0.0
357399939797,,352,0,1,1,2.0,0.0,2.0,0.0
87036169493,,352,0,1,1,2.0,0.0,2.0,0.0
144229115597685,,352,0,1,1,2.0,0.0,2.0,0.0
235867789822611,,352,0,1,1,2.0,0.0,2.0,0.0
151759214847760,,352,0,1,1,2.0,0.0,2.0,0.0
143835508960594,,352,0,1,1,2.0,0.0,2.0,0.0
263655880367185,,352,0,1,1,2.0,0.0,2.0,0.0
172290302900089,,352,0,1,1,2.0,0.0,2.0,0.0
264074841606,,352,0,1,1,2.0,0.0,2.0,0.0
112805282065180,,352,0,1,1,2.0,0.0,2.0,0.0
110782518968062,,352,0,1,1,2.0,0.0,2.0,0.0
174528895960716,,352,0,1,1,2.0,0.0,2.0,0.0
118646668156624,,352,0,1,1,2.0,0.0,2.0,0.0
207007745983754,,352,0,1,1,2.0,0.0,2.0,0.0
115418201806757,,352,0,1,1,2.0,0.0,2.0,0.0
197878401746,,352,0,1,1,2.0,0.0,2.0,0.0
172892899444537,,352,0,1,1,2.0,0.0,2.0,0.0
142834315808816,,352,0,1,1,2.0,0.0,2.0,0.0
113470715287,,352,0,2,2,3.0,0.0,3.0,0.0
310246548993040,,352,0,1,1,2.0,0.0,2.0,0.0
161622023887242,,352,0,1,1,2.0,0.0,2.0,0.0
301103536567140,,352,0,1,1,2.0,0.0,2.0,0.0
163239370367173,,352,0,1,1,2.0,0.0,2.0,0.0
22747166922,,383,0,2,2,3.0,0.0,3.0,0.0
93588635430,,352,0,2,2,3.0,0.0,3.0,0.0
150480644979911,,352,0,1,1,2.0,0.0,2.0,0.0
233883229959574,,352,0,1,1,2.0,0.0,2.0,0.0
88164817092,,352,0,1,1,2.0,0.0,2.0,0.0
69717994787,,352,0,1,1,2.0,0.0,2.0,0.0
117682905290,,352,0,1,1,2.0,0.0,2.0,0.0
197947375013,,352,0,1,1,2.0,0.0,2.0,0.0
306744750525,,352,0,1,1,2.0,0.0,2.0,0.0
191698714208300,,352,0,1,1,2.0,0.0,2.0,0.0
126791157335858,,352,0,1,1,2.0,0.0,2.0,0.0
186627418496,,352,0,1,1,2.0,0.0,2.0,0.0
144376378794,,352,0,1,1,2.0,0.0,2.0,0.0
205689472787809,,352,0,1,1,2.0,0.0,2.0,0.0
57419343393,,352,0,1,1,2.0,0.0,2.0,0.0
166226473437947,,277,0,1,1,2.0,0.0,2.0,0.0
355957000874,,277,0,1,1,2.0,0.0,2.0,0.0
175634045845838,,142,0,1,1,1.0,0.0,1.0,0.0
117260361672066,,142,0,1,1,1.0,0.0,1.0,0.0
21349752915,,2,0,1,1,1.0,0.0,1.0,0.0
172620659469617,,2,0,1,1,1.0,0.0,1.0,0.0
111162275631834,,2,0,1,1,1.0,0.0,1.0,0.0
41182871633,,2,0,1,1,1.0,0.0,1.0,0.0
304948803922,,3,0,1,1,1.0,0.0,1.0,0.0
109777402377223,,352,0,1,1,2.0,0.0,2.0,0.0
204605456226828,,352,0,1,1,2.0,0.0,2.0,0.0
179464855419381,,352,0,1,1,2.0,0.0,2.0,0.0
160726270691484,,352,0,1,1,2.0,0.0,2.0,0.0
165296673500632,,352,0,1,1,2.0,0.0,2.0,0.0
103996859637135,,352,0,1,1,2.0,0.0,2.0,0.0
128561963883021,,352,0,1,1,2.0,0.0,2.0,0.0
114932788522195,,352,0,1,1,2.0,0.0,2.0,0.0
41891292349,,352,0,1,1,2.0,0.0,2.0,0.0
311203865605308,,352,0,1,1,2.0,0.0,2.0,0.0
217049635055179,,352,0,1,1,2.0,0.0,2.0,0.0
18351457517,,352,0,1,1,2.0,0.0,2.0,0.0
203216483050530,,352,0,2,2,4.0,0.0,4.0,0.0
113842875308104,,352,0,1,1,2.0,0.0,2.0,0.0
107468149302250,,352,0,1,1,2.0,0.0,2.0,0.0
116139898451772,,352,0,1,1,2.0,0.0,2.0,0.0
102289574801,,352,0,2,2,4.0,0.0,4.0,0.0
208224405856207,,352,0,2,2,4.0,0.0,4.0,0.0
133851723322042,,352,0,1,1,2.0,0.0,2.0,0.0
112368408816944,,352,0,1,1,2.0,0.0,2.0,0.0
