Source,Target
143440629061452,59791986761
394915923889268,59791986761
209165372436551,59791986761
145523322156287,59791986761
165619990247657,59791986761
215852036041,59791986761
115381141879,59791986761
402196246539293,59791986761
172374083021,59791986761
225004830931589,59791986761
203098389722511,59791986761
27221929013,59791986761
435192799857521,59791986761
295080483842166,59791986761
89359925488,59791986761
157129306827,59791986761
116202368465344,59791986761
396069473795199,59791986761
55831658149,59791986761
113278138726964,59791986761
100886442754,59791986761
148583711955119,59791986761
174297701696,59791986761
131223542328,59791986761
192306230810239,59791986761
120021828027058,59791986761
401524056574184,59791986761
164334026932843,59791986761
63073423600,59791986761
220330441359494,59791986761
13927915491,59791986761
104383239633803,59791986761
428398327215094,59791986761
77500719676,59791986761
148972371877596,59791986761
249697513048,59791986761
137844382909601,59791986761
132641303418453,59791986761
133094956743893,59791986761
137753499590300,59791986761
257959614258952,59791986761
108233345862657,59791986761
168265216549512,59791986761
86973707921,59791986761
393785704005802,59791986761
132777712048,59791986761
124277940893,59791986761
457630014256569,59791986761
138172812903595,59791986761
294135867300542,59791986761
277636635633693,59791986761
400901909939104,59791986761
179270228761065,59791986761
120614174616069,59791986761
55290780338,59791986761
271573749521209,59791986761
338036800602,59791986761
126975560648239,59791986761
161306937212925,59791986761
184909978189917,59791986761
114562073671,59791986761
126788624013665,59791986761
230959116729,59791986761
344292212167,59791986761
323769416216,59791986761
301359803257940,59791986761
233896479978392,59791986761
217936034891384,59791986761
139281079428412,59791986761
132993696759805,59791986761
181619175297282,59791986761
102282073207836,59791986761
22127563836,59791986761
76273827237,59791986761
210152375729162,59791986761
191582067138,59791986761
106583587576,59791986761
147379631990860,59791986761
10150099384115385,59791986761
194746207238141,59791986761
127189896205,59791986761
139052809467196,59791986761
21177444489,59791986761
52368145486,59791986761
51850479973,59791986761
43105614434,59791986761
132661226785239,59791986761
177393885633224,59791986761
49908483531,59791986761
72954892040,59791986761
119084421502015,59791986761
329797913333,59791986761
46599352275,59791986761
51786819689,59791986761
56588246537,59791986761
29244094145,59791986761
328941131974,59791986761
326480973283,59791986761
136656334522,59791986761
127426043955479,59791986761
145737632118475,59791986761
66153248320,59791986761
83607422778,59791986761
71536862792,59791986761
141006952485,59791986761
126280558796,59791986761
58506898175,59791986761
71972158056,59791986761
90187774358,59791986761
48622272808,59791986761
96730505989,59791986761
104021335581,59791986761
64300556312,59791986761
107161699319433,59791986761
134296996597869,59791986761
79140944673,59791986761
156314357745103,59791986761
115293181825429,59791986761
130713455584,59791986761
61134242230,59791986761
161295523902329,59791986761
168401510959,59791986761
297631040645,59791986761
136354066247,59791986761
140029389353178,59791986761
185457709305,59791986761
120640724246,59791986761
58063584908,59791986761
100752972454,59791986761
101909561515,59791986761
113680001902,59791986761
109926442339,59791986761
165345700190087,59791986761
291882967915,59791986761
49297904970,59791986761
150459551651250,59791986761
220330927983469,59791986761
136753606407304,59791986761
171260846267490,59791986761
